id_club;nombre;dias;longitud_reserva;momento_dia;costo;numero_canchas
BOG01;Locos x Padel;L-V;HORA;MANANA;32000;8
BOG01;Locos x Padel;L-V;HORA;MANANA;48000;8
BOG01;Locos x Padel;L-V;HORA;MANANA;100000;8
BOG01;Locos x Padel;L-V;HORA;MANANA;100000;8
BOG01;Locos x Padel;L-V;HORA;MANANA;72000;8
BOG01;Locos x Padel;L-V;HORA;MANANA;72000;8
BOG01;Locos x Padel;L-V;HORA;MANANA;72000;8
BOG01;Locos x Padel;L-V;HORA;MANANA;72000;8
BOG01;Locos x Padel;L-V;HORA;MANANA;32000;8
BOG01;Locos x Padel;L-V;HORA;MANANA;32000;8
BOG01;Locos x Padel;L-V;HORA;MANANA;32000;8
BOG01;Locos x Padel;L-V;HORA;MANANA;32000;8
BOG01;Locos x Padel;L-V;HORA;TARDE;60000;8
BOG01;Locos x Padel;L-V;HORA;TARDE;40000;8
BOG01;Locos x Padel;L-V;HORA;TARDE;40000;8
BOG01;Locos x Padel;L-V;HORA;TARDE;60000;8
BOG01;Locos x Padel;L-V;HORA;TARDE;60000;8
BOG01;Locos x Padel;L-V;HORA;TARDE;60000;8
BOG01;Locos x Padel;L-V;HORA;NOCHE;140000;8
BOG01;Locos x Padel;L-V;HORA;NOCHE;140000;8
BOG01;Locos x Padel;L-V;HORA;NOCHE;140000;8
BOG01;Locos x Padel;L-V;HORA Y MEDIA;TARDE;100000;8
BOG01;Locos x Padel;L-V;HORA Y MEDIA;TARDE;100000;8
BOG01;Locos x Padel;L-V;HORA Y MEDIA;TARDE;100000;8
BOG01;Locos x Padel;L-V;HORA Y MEDIA;TARDE;100000;8
BOG01;Locos x Padel;L-V;HORA Y MEDIA;NOCHE;200000;8
BOG01;Locos x Padel;L-V;HORA Y MEDIA;NOCHE;100000;8
BOG01;Locos x Padel;L-V;HORA Y MEDIA;NOCHE;200000;8
BOG01;Locos x Padel;L-V;HORA Y MEDIA;NOCHE;200000;8
BOG01;Locos x Padel;S-F;HORA;MANANA;100000;8
BOG01;Locos x Padel;S-F;HORA;MANANA;140000;8
BOG01;Locos x Padel;S-F;HORA;MANANA;140000;8
BOG01;Locos x Padel;S-F;HORA;MANANA;140000;8
BOG01;Locos x Padel;S-F;HORA;MANANA;32000;8
BOG01;Locos x Padel;S-F;HORA;MANANA;32000;8
BOG01;Locos x Padel;S-F;HORA;MANANA;32000;8
BOG01;Locos x Padel;S-F;HORA;MANANA;48000;8
BOG01;Locos x Padel;S-F;HORA;MANANA;100000;8
BOG01;Locos x Padel;S-F;HORA;MANANA;100000;8
BOG01;Locos x Padel;S-F;HORA;MANANA;32000;8
BOG01;Locos x Padel;S-F;HORA;MANANA;32000;8
BOG01;Locos x Padel;S-F;HORA;TARDE;100000;8
BOG01;Locos x Padel;S-F;HORA;TARDE;100000;8
BOG01;Locos x Padel;S-F;HORA;TARDE;100000;8
BOG01;Locos x Padel;S-F;HORA;TARDE;100000;8
